Name,Date,Time,Location,Topic
"
                                        
                                    Committee on Economic Development",5/21/2014,"
                                        1:00 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Committee on Small Business,Executive Budget Hearings - Economic Development
"
                                        
                                    Committee on Small Business",5/21/2014,"
                                        1:00 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Committee on Economic Development,Executive Budget Hearings - Small Business
"
                                        
                                    Committee on Finance",5/21/2014,"
                                        10:00 AM
                                    ","Council Chambers - City HallJointly with the Committee on Housing & Buildings, the Committee on Economic Development and the Committee on Small Business",Executive Budget Hearings - Finance
"
                                        
                                    Committee on Housing and Buildings",5/21/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Housing and Buildings
"
                                        
                                    Committee on Waterfronts",5/21/2014,"
                                        10:00 AM
                                    ",Committee Room - City Hall,Oversight - An Update on Governor’s Island.
"
                                        
                                    Subcommittee on Planning, Dispositions and Concessions",5/20/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Subcommittee on Landmarks, Public Siting and Maritime Uses",5/20/2014,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.", 
"
                                        
                                    Committee on Finance",5/20/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Public Safety,Executive Budget Hearings - Finance
"
                                        
                                    Committee on Public Safety",5/20/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Public Safety
"
                                        
                                    Subcommittee on Zoning and Franchises",5/20/2014,"
                                        9:30 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Zoning, Sidewalk café, 963 Lexington, Manhattan (20145032 TCM)"
"
                                        
                                    Committee on Women's Issues",5/19/2014,"
                                        11:30 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Committee on General Welfare,Executive Budget Hearings - Women's Issues
"
                                        
                                    Committee on Juvenile Justice",5/19/2014,"
                                        Deferred
                                    ","Council Chambers - City HallJointly with the Committee on Finance, the Committee on General Welfare and the Commitee on Women's Issues",Executive Budget Hearings - Juvenile Justice
"
                                        
                                    Committee on Finance",5/19/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on General Welfare and the Committee on Women's Issues,Executive Budget Hearings - Finance
"
                                        
                                    Committee on General Welfare",5/19/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Committee on Women's Issues,Executive Budget Hearings - General Welfare
"
                                        
                                    Committee on Consumer Affairs",5/16/2014,"
                                        1:00 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Consumer Affairs
"
                                        
                                    Committee on Youth Services",5/16/2014,"
                                        11:30 AM
                                    ",Council Chambers - City HallJointly with the Committee Finance and the Committee on Community Development,Executive Budget Hearings - Youth Services
"
                                        
                                    Committee on Community Development",5/16/2014,"
                                        11:30 AM
                                    ",Council Chambers - City HallJointly with the Committee Finance and the Committee on Youth Services,Executive Budget Hearings - Community Development
"
                                        
                                    Committee on Finance",5/16/2014,"
                                        10:00 AM
                                    ","Council Chambers - City HallJointly with the Committee on Higher Education, Committee on Youth Services, Committee on Community Development and the Committee on Consumer Affairs",Executive Budget Hearings - Finance
"
                                        
                                    Committee on Higher Education",5/16/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings -  Higher Education
"
                                        
                                    Committee on Sanitation and Solid Waste Management",5/15/2014,"
                                        1:15 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Sanitation and Solid Waste Management
"
                                        
                                    Committee on Finance",5/15/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Transportation and the Committee on Sanitation and Solid Waste Management,Executive Budget Hearings - Finance
"
                                        
                                    Committee on Transportation",5/15/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Transportation
"
                                        
                                    City Council Stated Meeting",5/14/2014,"
                                        1:30 PM
                                    ",Council Chambers - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Standards and Ethics",5/14/2014,"
                                        11:30 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Matter of Council Member Ruben Wills pursuant to Section 10.80 of the Council Rules.
"
                                        
                                    Committee on Rules, Privileges and Elections",5/14/2014,"
                                        10:30 AM
                                    ",Committee Room - City Hall,"Amend the Rules of the Council in relation to improving the responsiveness, transparency, fairness, and inclusiveness of the City Council."
"
                                        
                                    Committee on Finance",5/14/2014,"
                                        10:00 AM
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Transportation",5/14/2014,"
                                        10:00 AM
                                    ",Council Chambers - City Hall,Lower NYC’s speed limit to 25 miles per hour.
"
                                        
                                    Committee on Environmental Protection",5/13/2014,"
                                        1:00 PM
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
